moderation status: j_SLaNRf_xo  ,  
moderation status: j_SLaNRf_xo  ,  
moderation status(vid id, mod status): j_SLaNRf_xo  ,  
moderation status(vid id, mod status): j_SLaNRf_xo  ,  
moderation status(vid id, mod status): YCVeYWVQ03g  ,  
moderation status(vid id, mod status): SiIHam5adVo  ,  
moderation status(channel id, vid id, time,  mod status): UC7_YxT-KID8kRbqZo7MyscQ  ,   4iVshVT4YmE  ,  20:42:09  ,  
moderation status(channel id, vid id, time,  mod status): UCPcFg7aBbaVzXoIKSNqwaww  ,   yjbG-a0uujw  ,  04 21:11:09  ,  
moderation status(channel id, vid id, time,  mod status): UCYzPXprvl5Y-Sf0g4vX-m6g  ,   QuApYVTMpQ8  ,  04 22:43:21  ,  likelySpam
moderation status(channel id, vid id, time,  mod status): UC7_YxT-KID8kRbqZo7MyscQ  ,   VJ1CPW2iRjA  ,  05 00:24:20  ,  
moderation status(channel id, vid id, time,  mod status): UCEY0yxj6QxG4RBVRSe5orig  ,   -1cQWMlVjfI  ,  05 15:03:16  ,  
moderation status(channel id, vid id, time,  mod status): UCdcemy56JtVTrsFIOoqvV8g  ,   SsdZj1kV77k  ,  05 15:03:17  ,  
moderation status(channel id, vid id, time,  mod status): UCYzPXprvl5Y-Sf0g4vX-m6g  ,   ffw6pHj5tWA  ,  05 16:03:58  ,  likelySpam
moderation status(channel id, vid id, time,  mod status): UCsTcErHg8oDvUnTzoqsYeNw  ,   g7-6OCmIDzI  ,  05 16:34:33  ,  
moderation status(channel id, vid id, time,  mod status): UC-lHJZR3Gqxm24_Vd_AJ5Yw  ,   3CHnJNXqcmw  ,  05 16:54:50  ,  likelySpam
moderation status(channel id, vid id, time,  mod status): UCYzPXprvl5Y-Sf0g4vX-m6g  ,   jg6j-AiJcGg  ,  05 19:08:08  ,  
moderation status(channel id, vid id, time,  mod status): UC7_YxT-KID8kRbqZo7MyscQ  ,   vq9cv3WRqbA  ,  05 19:08:09  ,  
moderation status(channel id, vid id, time,  mod status): UCRlICXvO4XR4HMeEB9JjDlA  ,   CPh8QoSdBPM  ,  06 00:56:53  ,  
moderation status(channel id, vid id, time,  mod status): UC__Oy3QdB3d9_FHO_XG1PZg  ,   -0ZP9Elwvg8  ,  06 04:49:09  ,  
moderation status(channel id, vid id, time,  mod status): UC4_bwov47DseacR1-ttTdOg  ,   otvYmyJMxu4  ,  06 06:40:16  ,  
moderation status(channel id, vid id, time,  mod status): UC7_YxT-KID8kRbqZo7MyscQ  ,   5QJUG8cdn78  ,  06 15:05:27  ,  
moderation status(channel id, vid id, time,  mod status): UCYBP_TtboAYP28U3ZVNM9Ig  ,   OS3IAx4fYvU  ,  06 15:05:29  ,  
moderation status(channel id, vid id, time,  mod status): UCYzPXprvl5Y-Sf0g4vX-m6g  ,   gV9g2gTuY_8  ,  06 16:06:15  ,  
moderation status(channel id, vid id, time,  mod status): UCPDXXXJj9nax0fr0Wfc048g  ,   Y9Cald-OCPA  ,  06 16:06:16  ,  
moderation status(channel id, vid id, time,  mod status): UCYzPXprvl5Y-Sf0g4vX-m6g  ,   9PQoc4DN40A  ,  06 19:09:30  ,  likelySpam
moderation status(channel id, vid id, time,  mod status): UC7_YxT-KID8kRbqZo7MyscQ  ,   _o1KluWrkLQ  ,  06 19:09:32  ,  
moderation status(channel id, vid id, time,  mod status): UC11PvrGPzo6Y7Zc6-e9cAKg  ,   lM4GzCZ_vQ4  ,  06 23:50:57  ,  
moderation status(channel id, vid id, time,  mod status): UCki1I0RCzDl2TX_5GXyrGaw  ,   TEow8sFsBBM  ,  07 00:31:29  ,  
moderation status(channel id, vid id, time,  mod status): UCN5xN8gIljvWYnsj06V8WbQ  ,   -_PCvbVsopw  ,  07 00:51:45  ,  
moderation status(channel id, vid id, time,  mod status): UCxOGHW-aqciBe5Wjq8ltzOg  ,   55nGO7wBhk4  ,  07 15:12:20  ,  
moderation status(channel id, vid id, time,  mod status): UCYzPXprvl5Y-Sf0g4vX-m6g  ,   rkGHbi2NBS4  ,  07 16:03:16  ,  
moderation status(channel id, vid id, time,  mod status): UCuouUWCLmpG4Dje3Ay0p1oQ  ,   a1oIV1GXfbI  ,  07 19:08:51  ,  
moderation status(channel id, vid id, time,  mod status): UCYzPXprvl5Y-Sf0g4vX-m6g  ,   _-i6MEtjzxw  ,  07 19:08:53  ,  
moderation status(channel id, vid id, time,  mod status): UC7_YxT-KID8kRbqZo7MyscQ  ,   8E_lRmj7fRY  ,  07 19:08:56  ,  
moderation status(channel id, vid id, time,  mod status): UCsTcErHg8oDvUnTzoqsYeNw  ,   mWHFSp7nsTs  ,  07 20:30:21  ,  
moderation status(channel id, vid id, time,  mod status): UCN5xN8gIljvWYnsj06V8WbQ  ,   rOTlKvM7NG4  ,  07 21:21:14  ,  
moderation status(channel id, vid id, time,  mod status): UCX6OQ3DkcsbYNE6H8uQQuVA  ,   laEOAhkuCtA  ,  07 22:42:22  ,  
moderation status(channel id, vid id, time,  mod status): UC11PvrGPzo6Y7Zc6-e9cAKg  ,   _grCMQ5MZQU  ,  08 01:44:58  ,  
moderation status(channel id, vid id, time,  mod status): UCWXCrItCF6ZgXrdozUS-Idw  ,   0Fr06QOEMIY  ,  08 05:09:08  ,  
moderation status(channel id, vid id, time,  mod status): UC-lHJZR3Gqxm24_Vd_AJ5Yw  ,   Pn6puoLXuhI  ,  08 16:22:50  ,  
moderation status(channel id, vid id, time,  mod status): UCdcemy56JtVTrsFIOoqvV8g  ,   7RO4yFTUWm4  ,  08 17:26:20  ,  
moderation status(channel id, vid id, time,  mod status): UCYzPXprvl5Y-Sf0g4vX-m6g  ,   GBi0dQKH-Y4  ,  08 19:02:37  ,  
moderation status(channel id, vid id, time,  mod status): UCPcFg7aBbaVzXoIKSNqwaww  ,   BuP-LwXqdMg  ,  08 22:52:00  ,  
moderation status(channel id, vid id, time,  mod status): UCeg3kCPS0awdApTERsIPkyA  ,   dK7TFZOFzAs  ,  08 23:02:12  ,  likelySpam
moderation status(channel id, vid id, time,  mod status): UCtinbF-Q-fVthA0qrFQTgXQ  ,   Gnr2k-VvsCc  ,  08 23:12:22  ,  
moderation status(channel id, vid id, time,  mod status): UC__Oy3QdB3d9_FHO_XG1PZg  ,   GNhqeaeUf-U  ,  08 23:32:45  ,  
moderation status(channel id, vid id, time,  mod status): UCtB8vLGYf_3MqDvNAU7sLUw  ,   M7sNZqTU84I  ,  08 23:42:57  ,  
moderation status(channel id, vid id, time,  mod status): UCki1I0RCzDl2TX_5GXyrGaw  ,   ATbtIhU1KpI  ,  09 00:54:18  ,  
moderation status(channel id, vid id, time,  mod status): UCeg3kCPS0awdApTERsIPkyA  ,   dQqvNYTZd5M  ,  09 01:04:29  ,  
moderation status(channel id, vid id, time,  mod status): UCki1I0RCzDl2TX_5GXyrGaw  ,   yQq5vpmXpyw  ,  09 01:24:51  ,  
moderation status(channel id, vid id, time,  mod status): UC__Oy3QdB3d9_FHO_XG1PZg  ,   DZQDYbv0VlU  ,  09 04:37:59  ,  likelySpam
moderation status(channel id, vid id, time,  mod status): UCr3cBLTYmIK9kY0F_OdFWFQ  ,   BgrUyIoBHCA  ,  09 13:07:35  ,  
moderation status(channel id, vid id, time,  mod status): UCjGKVfzdPW599sgJUyxzeZQ  ,   Mfaa3aIH_yY  ,  09 13:38:12  ,  
moderation status(channel id, vid id, time,  mod status): UC9RM-iSvTu1uPJb8X5yp3EQ  ,   HSxSgbNQi-g  ,  09 14:39:19  ,  
moderation status(channel id, vid id, time,  mod status): UCEY0yxj6QxG4RBVRSe5orig  ,   xjveNiSPmiw  ,  09 15:09:56  ,  
moderation status(channel id, vid id, time,  mod status): UC9SVhrnsGxWwiBRWT9c7Ozw  ,   p1fB70MX4jU  ,  09 17:05:23  ,  
moderation status(channel id, vid id, time,  mod status): UCPDXXXJj9nax0fr0Wfc048g  ,   DrAkPWpwmD0  ,  09 17:46:22  ,  
moderation status(channel id, vid id, time,  mod status): UC-lHJZR3Gqxm24_Vd_AJ5Yw  ,   IJuqRbqepFI  ,  09 18:06:47  ,  
moderation status(channel id, vid id, time,  mod status): UCsTcErHg8oDvUnTzoqsYeNw  ,   n3Pda5BDyL8  ,  09 18:49:23  ,  
moderation status(channel id, vid id, time,  mod status): UCYzPXprvl5Y-Sf0g4vX-m6g  ,   mypL0Rl72BM  ,  09 19:09:06  ,  likelySpam
moderation status(channel id, vid id, time,  mod status): UCHfZgL6QeO4JtvjfKbW_Mpg  ,   xOihVamQWLM  ,  09 21:02:01  ,  
moderation status(channel id, vid id, time,  mod status): UCPcFg7aBbaVzXoIKSNqwaww  ,   Ge_22K0UTIY  ,  09 21:32:09  ,  
moderation status(channel id, vid id, time,  mod status): UC1IttIQyALX3lsCyas36wzw  ,   hjcvZYGdVaI  ,  09 21:32:10  ,  
moderation status(channel id, vid id, time,  mod status): UCPcFg7aBbaVzXoIKSNqwaww  ,   Ge_22K0UTIY  ,  09 21:32:11  ,  
moderation status(channel id, vid id, time,  mod status): UCeg3kCPS0awdApTERsIPkyA  ,   OXddfk18VL8  ,  09 23:03:38  ,  
moderation status(channel id, vid id, time,  mod status): UC7_YxT-KID8kRbqZo7MyscQ  ,   eN5Lb_vSj2w  ,  09 23:03:39  ,  
moderation status(channel id, vid id, time,  mod status): UCeg3kCPS0awdApTERsIPkyA  ,   v1oOZ51wfk8  ,  10 01:05:32  ,  
moderation status(channel id, vid id, time,  mod status): UCtB8vLGYf_3MqDvNAU7sLUw  ,   Tg3JDYR3hMA  ,  10 02:06:22  ,  likelySpam
moderation status(channel id, vid id, time,  mod status): UCtinbF-Q-fVthA0qrFQTgXQ  ,   pqQiimdTIL0  ,  10 12:04:46  ,  likelySpam
moderation status(channel id, vid id, time,  mod status): UCjGKVfzdPW599sgJUyxzeZQ  ,   m_rACCpk48s  ,  10 14:25:24  ,  likelySpam
moderation status(channel id, vid id, time,  mod status): UCYzPXprvl5Y-Sf0g4vX-m6g  ,   YR61bqda3Ko  ,  10 16:07:07  ,  
moderation status(channel id, vid id, time,  mod status): UC9SVhrnsGxWwiBRWT9c7Ozw  ,   vO1-oqC5i3I  ,  10 16:48:00  ,  
moderation status(channel id, vid id, time,  mod status): UCtinbF-Q-fVthA0qrFQTgXQ  ,   CDXOp12kwh4  ,  10 18:06:14  ,  
moderation status(channel id, vid id, time,  mod status): UCYzPXprvl5Y-Sf0g4vX-m6g  ,   YnIcJgYr2Mk  ,  10 19:03:38  ,  
moderation status(channel id, vid id, time,  mod status): UCeg3kCPS0awdApTERsIPkyA  ,   ksYNsh_3Rlc  ,  10 20:04:50  ,  
moderation status(channel id, vid id, time,  mod status): UCsTcErHg8oDvUnTzoqsYeNw  ,   cTC2R2TSRx4  ,  10 20:15:02  ,  
moderation status(channel id, vid id, time,  mod status): UCeg3kCPS0awdApTERsIPkyA  ,   YEihQ2WI_WI  ,  10 21:05:57  ,  
moderation status(channel id, vid id, time,  mod status): UCeg3kCPS0awdApTERsIPkyA  ,   D4h41N-Bl5o  ,  10 23:08:15  ,  
moderation status(channel id, vid id, time,  mod status): UC7_YxT-KID8kRbqZo7MyscQ  ,   2aCyKPXEYYM  ,  10 23:08:16  ,  
moderation status(channel id, vid id, time,  mod status): UCN5xN8gIljvWYnsj06V8WbQ  ,   eHWpF9X0upg  ,  11 00:29:27  ,  
moderation status(channel id, vid id, time,  mod status): UCPcFg7aBbaVzXoIKSNqwaww  ,   MP-e5bAHADE  ,  11 00:49:47  ,  
moderation status(channel id, vid id, time,  mod status): UCPcFg7aBbaVzXoIKSNqwaww  ,   MP-e5bAHADE  ,  11 00:49:48  ,  likelySpam
moderation status(channel id, vid id, time,  mod status): UCeg3kCPS0awdApTERsIPkyA  ,   kTUeEKbXsWA  ,  11 01:10:07  ,  
moderation status(channel id, vid id, time,  mod status): UC__Oy3QdB3d9_FHO_XG1PZg  ,   wCF2SPudjP8  ,  11 02:41:24  ,  
moderation status(channel id, vid id, time,  mod status): UCWXCrItCF6ZgXrdozUS-Idw  ,   EFO9EiXFG4c  ,  11 05:03:28  ,  likelySpam
moderation status(channel id, vid id, time,  mod status): UCEY0yxj6QxG4RBVRSe5orig  ,   y8OGo5OTkYs  ,  11 05:54:15  ,  likelySpam
moderation status(channel id, vid id, time,  mod status): UCYzPXprvl5Y-Sf0g4vX-m6g  ,   dDXtb3giusw  ,  11 16:03:51  ,  
moderation status(channel id, vid id, time,  mod status): UC__Oy3QdB3d9_FHO_XG1PZg  ,   x-WazHogZfI  ,  11 16:14:15  ,  likelySpam
moderation status(channel id, vid id, time,  mod status): UC-lHJZR3Gqxm24_Vd_AJ5Yw  ,   UpPI2K4QZog  ,  11 16:44:55  ,  
moderation status(channel id, vid id, time,  mod status): UCsTcErHg8oDvUnTzoqsYeNw  ,   XBk48WIKZds  ,  11 17:05:19  ,  likelySpam
moderation status(channel id, vid id, time,  mod status): UCuVOTQeNXKAP0OQcTBbACjg  ,   MvfaIHVViz4  ,  11 17:05:21  ,  likelySpam
moderation status(channel id, vid id, time,  mod status): UCF1tkwvS2y-ya_dVSv7LDKw  ,   G8ZPSqcgv98  ,  11 17:05:22  ,  likelySpam
moderation status(channel id, vid id, time,  mod status): UCdcemy56JtVTrsFIOoqvV8g  ,   qJEpvw9diSU  ,  11 22:11:47  ,  
moderation status(channel id, vid id, time,  mod status): UC__Oy3QdB3d9_FHO_XG1PZg  ,   gxuqc9rF-m4  ,  11 22:32:07  ,  
moderation status(channel id, vid id, time,  mod status): UC7_YxT-KID8kRbqZo7MyscQ  ,   rwaI7-Ukh9c  ,  11 23:02:36  ,  likelySpam
moderation status(channel id, vid id, time,  mod status): UCki1I0RCzDl2TX_5GXyrGaw  ,   yE4tJQzsngc  ,  12 00:44:04  ,  
moderation status(channel id, vid id, time,  mod status): UCeg3kCPS0awdApTERsIPkyA  ,   Jnax9PG9VM0  ,  12 01:04:23  ,  
moderation status(channel id, vid id, time,  mod status): UCRlICXvO4XR4HMeEB9JjDlA  ,   x342ibIhB1Q  ,  12 01:14:34  ,  
moderation status(channel id, vid id, time,  mod status): UC11PvrGPzo6Y7Zc6-e9cAKg  ,   KevVWzIxCMo  ,  12 01:34:52  ,  
moderation status(channel id, vid id, time,  mod status): UCa6TeYZ2DlueFRne5DyAnyg  ,   RFJ-LaJMe6A  ,  12 01:34:53  ,  
moderation status(channel id, vid id, time,  mod status): UCEY0yxj6QxG4RBVRSe5orig  ,   blHvnkBr6ns  ,  12 03:26:31  ,  
moderation status(channel id, vid id, time,  mod status): UC1NB1xUQ8ItM5VoA4101lUQ  ,   gVfwtvtjOdo  ,  12 04:07:05  ,  
moderation status(channel id, vid id, time,  mod status): UCYzPXprvl5Y-Sf0g4vX-m6g  ,   GO-i6dnETEA  ,  12 16:08:49  ,  
moderation status(channel id, vid id, time,  mod status): UC-lHJZR3Gqxm24_Vd_AJ5Yw  ,   zj9HzJqzMoA  ,  12 16:19:01  ,  
moderation status(channel id, vid id, time,  mod status): UCF1tkwvS2y-ya_dVSv7LDKw  ,   Nt1_O1Lh3XU  ,  12 17:09:58  ,  likelySpam
moderation status(channel id, vid id, time,  mod status): UCsTcErHg8oDvUnTzoqsYeNw  ,   2ECxC0xub4g  ,  12 18:11:06  ,  likelySpam
moderation status(channel id, vid id, time,  mod status): UCYzPXprvl5Y-Sf0g4vX-m6g  ,   FG7LesFPS3Y  ,  12 19:02:37  ,  
moderation status(channel id, vid id, time,  mod status): UCeg3kCPS0awdApTERsIPkyA  ,   kE0ecz3_bYA  ,  12 20:03:45  ,  
moderation status(channel id, vid id, time,  mod status): UCeg3kCPS0awdApTERsIPkyA  ,   _pAaMQ4vpVo  ,  12 21:04:53  ,  likelySpam
moderation status(channel id, vid id, time,  mod status): UCeg3kCPS0awdApTERsIPkyA  ,   _mBMLS5k698  ,  12 23:08:25  ,  
moderation status(channel id, vid id, time,  mod status): UC7_YxT-KID8kRbqZo7MyscQ  ,   hvaLzsUndAM  ,  12 23:08:27  ,  
moderation status(channel id, vid id, time,  mod status): UCEY0yxj6QxG4RBVRSe5orig  ,   m_T26K8yg3U  ,  13 00:39:50  ,  likelySpam
moderation status(channel id, vid id, time,  mod status): UCtB8vLGYf_3MqDvNAU7sLUw  ,   BSEHXa8Ncns  ,  13 02:51:45  ,  
moderation status(channel id, vid id, time,  mod status): UCN5xN8gIljvWYnsj06V8WbQ  ,   fxLBtjdCVno  ,  13 10:29:12  ,  
moderation status(channel id, vid id, time,  mod status): UCa6TeYZ2DlueFRne5DyAnyg  ,   9A0vvBLLfK0  ,  13 15:34:29  ,  likelySpam
moderation status(channel id, vid id, time,  mod status): UCYzPXprvl5Y-Sf0g4vX-m6g  ,   wsRFPSdMx7M  ,  13 16:05:03  ,  
moderation status(channel id, vid id, time,  mod status): UCPDXXXJj9nax0fr0Wfc048g  ,   Kk4EC6-YFbs  ,  13 16:05:04  ,  
moderation status(channel id, vid id, time,  mod status): UCeg3kCPS0awdApTERsIPkyA  ,   S9lqoYzBR84  ,  13 23:05:31  ,  
moderation status(channel id, vid id, time,  mod status): UC7_YxT-KID8kRbqZo7MyscQ  ,   UG5knt8xA7w  ,  13 23:05:32  ,  
moderation status(channel id, vid id, time,  mod status): UCmlsu3V3SzIm2Jmo0S0qiMg  ,   NupHezpkEp4  ,  13 23:25:54  ,  
moderation status(channel id, vid id, time,  mod status): UCeg3kCPS0awdApTERsIPkyA  ,   SNKOm7lJlUI  ,  14 01:07:22  ,  
moderation status(channel id, vid id, time,  mod status): UC__Oy3QdB3d9_FHO_XG1PZg  ,   sDWFvz65hNE  ,  14 02:28:36  ,  
moderation status(channel id, vid id, time,  mod status): UCX6OQ3DkcsbYNE6H8uQQuVA  ,   tM7dlqKL9XU  ,  14 12:38:44  ,  
moderation status(channel id, vid id, time,  mod status): UCYzPXprvl5Y-Sf0g4vX-m6g  ,   EfjOUj2P_gs  ,  14 16:02:08  ,  likelySpam
moderation status(channel id, vid id, time,  mod status): UCuouUWCLmpG4Dje3Ay0p1oQ  ,   2yII00ioJaM  ,  14 17:03:14  ,  
moderation status(channel id, vid id, time,  mod status): UCeg3kCPS0awdApTERsIPkyA  ,   N_1-gaH4oZE  ,  14 20:04:25  ,  
moderation status(channel id, vid id, time,  mod status): UCN5xN8gIljvWYnsj06V8WbQ  ,   wqzZpmUsAMc  ,  14 20:04:27  ,  likelySpam
moderation status(channel id, vid id, time,  mod status): UC7_YxT-KID8kRbqZo7MyscQ  ,   988U9tvsO1s  ,  14 20:04:28  ,  
moderation status(channel id, vid id, time,  mod status): UCYzPXprvl5Y-Sf0g4vX-m6g  ,   Cpgp5Rj73ng  ,  14 20:55:20  ,  likelySpam
moderation status(channel id, vid id, time,  mod status): UCeg3kCPS0awdApTERsIPkyA  ,   F57asTbIiLo  ,  14 21:05:32  ,  likelySpam
moderation status(channel id, vid id, time,  mod status): UCEY0yxj6QxG4RBVRSe5orig  ,   2ebtxjNHo7I  ,  14 22:17:13  ,  
moderation status(channel id, vid id, time,  mod status): UCYBP_TtboAYP28U3ZVNM9Ig  ,   1feZopZgU2w  ,  14 22:37:31  ,  
moderation status(channel id, vid id, time,  mod status): UCeg3kCPS0awdApTERsIPkyA  ,   E6uB1QbE9XQ  ,  14 23:09:34  ,  
moderation status(channel id, vid id, time,  mod status): UC9qURpEWWIA2jbxLBRItksQ  ,   UFJ6pJWbpCI  ,  14 23:09:36  ,  
moderation status(channel id, vid id, time,  mod status): UC7_YxT-KID8kRbqZo7MyscQ  ,   LvPd7nKc6nw  ,  14 23:09:37  ,  
moderation status(channel id, vid id, time,  mod status): UCYzPXprvl5Y-Sf0g4vX-m6g  ,   JHnvN0fzwTs  ,  15 16:04:50  ,  
moderation status(channel id, vid id, time,  mod status): UC-lHJZR3Gqxm24_Vd_AJ5Yw  ,   uzMSqnwmMz4  ,  15 16:56:05  ,  
moderation status(channel id, vid id, time,  mod status): UC7_YxT-KID8kRbqZo7MyscQ  ,   Oa2uKU2Ss2w  ,  15 16:56:07  ,  likelySpam
moderation status(channel id, vid id, time,  mod status): UC7_YxT-KID8kRbqZo7MyscQ  ,   M9PE5V_jGwE  ,  15 17:06:18  ,  
moderation status(channel id, vid id, time,  mod status): UCdcemy56JtVTrsFIOoqvV8g  ,   qZDn-IRVngc  ,  15 18:18:13  ,  
moderation status(channel id, vid id, time,  mod status): UCYzPXprvl5Y-Sf0g4vX-m6g  ,   yIdx2NCzlyI  ,  15 19:09:13  ,  
moderation status(channel id, vid id, time,  mod status): UC__Oy3QdB3d9_FHO_XG1PZg  ,   z9gwHYJhapE  ,  15 21:21:34  ,  likelySpam
moderation status(channel id, vid id, time,  mod status): UCEY0yxj6QxG4RBVRSe5orig  ,   zR3rne7JHXI  ,  15 22:22:35  ,  
moderation status(channel id, vid id, time,  mod status): UCtB8vLGYf_3MqDvNAU7sLUw  ,   0BAT1RKSZhs  ,  15 22:32:46  ,  
moderation status(channel id, vid id, time,  mod status): UCeg3kCPS0awdApTERsIPkyA  ,   hi-XOkS6QLM  ,  15 23:04:41  ,  
moderation status(channel id, vid id, time,  mod status): UCki1I0RCzDl2TX_5GXyrGaw  ,   kFSQ7UxZbQE  ,  15 23:45:19  ,  
moderation status(channel id, vid id, time,  mod status): UC__Oy3QdB3d9_FHO_XG1PZg  ,   _ulOdgYrUa0  ,  16 00:56:22  ,  
moderation status(channel id, vid id, time,  mod status): UCeg3kCPS0awdApTERsIPkyA  ,   EwUFrOcu9tw  ,  16 01:06:31  ,  
moderation status(channel id, vid id, time,  mod status): UC1NB1xUQ8ItM5VoA4101lUQ  ,   URVnWn2omW4  ,  16 04:09:04  ,  
moderation status(channel id, vid id, time,  mod status): UCWXCrItCF6ZgXrdozUS-Idw  ,   zCglCxozPtw  ,  16 05:09:57  ,  
moderation status(channel id, vid id, time,  mod status): UC4_bwov47DseacR1-ttTdOg  ,   u-_T09RhqxQ  ,  16 10:14:51  ,  
moderation status(channel id, vid id, time,  mod status): UCYzPXprvl5Y-Sf0g4vX-m6g  ,   spnA0ylH1Qg  ,  16 16:06:38  ,  
moderation status(channel id, vid id, time,  mod status): UC-lHJZR3Gqxm24_Vd_AJ5Yw  ,   Zbr8bRUDdv8  ,  16 16:59:42  ,  
moderation status(channel id, vid id, time,  mod status): UCuVOTQeNXKAP0OQcTBbACjg  ,   cYuFhIR_7NA  ,  16 17:10:04  ,  
moderation status(channel id, vid id, time,  mod status): UCPDXXXJj9nax0fr0Wfc048g  ,   lOX0qQeS3Ms  ,  16 18:33:00  ,  likelySpam
moderation status(channel id, vid id, time,  mod status): UCYzPXprvl5Y-Sf0g4vX-m6g  ,   qDAgBTkix-k  ,  16 19:04:31  ,  
moderation status(channel id, vid id, time,  mod status): UCPcFg7aBbaVzXoIKSNqwaww  ,   jE4RoVwaQMY  ,  16 19:14:45  ,  likelySpam
moderation status(channel id, vid id, time,  mod status): UCPcFg7aBbaVzXoIKSNqwaww  ,   jE4RoVwaQMY  ,  16 19:14:46  ,  likelySpam
moderation status(channel id, vid id, time,  mod status): UC7_YxT-KID8kRbqZo7MyscQ  ,   k09_P17E2Wk  ,  16 20:07:13  ,  likelySpam
moderation status(channel id, vid id, time,  mod status): UCeg3kCPS0awdApTERsIPkyA  ,   dwhXlDtiIM4  ,  16 21:10:14  ,  
moderation status(channel id, vid id, time,  mod status): UCa6TeYZ2DlueFRne5DyAnyg  ,   LNNCb2DDACs  ,  16 21:10:16  ,  
moderation status(channel id, vid id, time,  mod status): UC__Oy3QdB3d9_FHO_XG1PZg  ,   -tJ8TeT_q_o  ,  16 21:20:28  ,  likelySpam
